id,plot,block,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,botanist,accumulatedCov,speciesRichness,shannon,surveyYearF,botanistYear
L2_09_2018,L2_09,2,3,50,15,4,dry_grassland,8,2018,Jakob_Huber,66,8,0.44909309,2018,Jakob_Huber2018
L2_09_2019,L2_09,2,3,50,15,4,dry_grassland,8,2019,Linda_Weggler,56,17,1.9469471,2019,Linda_Weggler2019
L2_09_2020,L2_09,2,3,50,15,4,dry_grassland,8,2020,Jakob_Huber,70.5,19,2.18889317,2020,Jakob_Huber2020
L2_09_2021,L2_09,2,3,50,15,4,dry_grassland,8,2021,Markus_Bauer,93,23,2.488071062,2021,Markus_Bauer2021
L2_10_2018,L2_10,2,3,50,15,3,dry_grassland,4,2018,Jakob_Huber,48.5,7,0.735504355,2018,Jakob_Huber2018
L2_10_2019,L2_10,2,3,50,15,3,dry_grassland,4,2019,Linda_Weggler,37,10,1.84221743,2019,Linda_Weggler2019
L2_10_2020,L2_10,2,3,50,15,3,dry_grassland,4,2020,Jakob_Huber,58,20,2.08489487,2020,Jakob_Huber2020
L2_10_2021,L2_10,2,3,50,15,3,dry_grassland,4,2021,Markus_Bauer,90.5,17,2.180175443,2021,Markus_Bauer2021
L2_11_2018,L2_11,2,3,50,15,1,hay_meadow,4,2018,Jakob_Huber,44.5,10,0.549736024,2018,Jakob_Huber2018
L2_11_2019,L2_11,2,3,50,15,1,hay_meadow,4,2019,Linda_Weggler,58,12,1.695383067,2019,Linda_Weggler2019
L2_11_2020,L2_11,2,3,50,15,1,hay_meadow,4,2020,Jakob_Huber,70.5,18,2.361644525,2020,Jakob_Huber2020
L2_11_2021,L2_11,2,3,50,15,1,hay_meadow,4,2021,Markus_Bauer,73.5,18,2.273518156,2021,Markus_Bauer2021
L2_12_2018,L2_12,2,3,50,15,2,hay_meadow,8,2018,Jakob_Huber,68,7,0.259864602,2018,Jakob_Huber2018
L2_12_2019,L2_12,2,3,50,15,2,hay_meadow,8,2019,Linda_Weggler,27,12,1.598572704,2019,Linda_Weggler2019
L2_12_2020,L2_12,2,3,50,15,2,hay_meadow,8,2020,Jakob_Huber,31,16,2.40602381,2020,Jakob_Huber2020
L2_12_2021,L2_12,2,3,50,15,2,hay_meadow,8,2021,Markus_Bauer,46,12,1.784492455,2021,Markus_Bauer2021
L2_13_2018,L2_13,2,4,0,30,1,hay_meadow,4,2018,Jakob_Huber,73,7,0.245045395,2018,Jakob_Huber2018
L2_13_2019,L2_13,2,4,0,30,1,hay_meadow,4,2019,Linda_Weggler,46,10,1.535516347,2019,Linda_Weggler2019
L2_13_2020,L2_13,2,4,0,30,1,hay_meadow,4,2020,Jakob_Huber,73.5,15,1.669147157,2020,Jakob_Huber2020
L2_13_2021,L2_13,2,4,0,30,1,hay_meadow,4,2021,Markus_Bauer,71,17,2.291826931,2021,Markus_Bauer2021
L2_14_2018,L2_14,2,4,0,30,3,dry_grassland,4,2018,Jakob_Huber,86.5,5,0.326391818,2018,Jakob_Huber2018
L2_14_2019,L2_14,2,4,0,30,3,dry_grassland,4,2019,Linda_Weggler,75.5,15,1.505319127,2019,Linda_Weggler2019
L2_14_2020,L2_14,2,4,0,30,3,dry_grassland,4,2020,Jakob_Huber,96.5,20,1.492745294,2020,Jakob_Huber2020
L2_14_2021,L2_14,2,4,0,30,3,dry_grassland,4,2021,Markus_Bauer,96.5,16,1.166520102,2021,Markus_Bauer2021
L2_15_2018,L2_15,2,4,0,30,4,dry_grassland,8,2018,Jakob_Huber,91,4,0.280316658,2018,Jakob_Huber2018
L2_15_2019,L2_15,2,4,0,30,4,dry_grassland,8,2019,Linda_Weggler,81,17,1.926776269,2019,Linda_Weggler2019
L2_15_2020,L2_15,2,4,0,30,4,dry_grassland,8,2020,Jakob_Huber,65,21,2.176845314,2020,Jakob_Huber2020
L2_15_2021,L2_15,2,4,0,30,4,dry_grassland,8,2021,Markus_Bauer,69,13,2.113514073,2021,Markus_Bauer2021
L2_16_2018,L2_16,2,4,0,30,2,hay_meadow,8,2018,Jakob_Huber,86,4,0.429413433,2018,Jakob_Huber2018
L2_16_2019,L2_16,2,4,0,30,2,hay_meadow,8,2019,Linda_Weggler,87,19,1.83611122,2019,Linda_Weggler2019
L2_16_2020,L2_16,2,4,0,30,2,hay_meadow,8,2020,Jakob_Huber,92.5,14,1.090178577,2020,Jakob_Huber2020
L2_16_2021,L2_16,2,4,0,30,2,hay_meadow,8,2021,Markus_Bauer,80.5,20,2.331928995,2021,Markus_Bauer2021
L2_17_2018,L2_17,2,5,25,30,4,dry_grassland,8,2018,Jakob_Huber,70,9,0.780837686,2018,Jakob_Huber2018
L2_17_2019,L2_17,2,5,25,30,4,dry_grassland,8,2019,Linda_Weggler,82.5,13,1.056308732,2019,Linda_Weggler2019
L2_17_2020,L2_17,2,5,25,30,4,dry_grassland,8,2020,Jakob_Huber,88,12,0.836194566,2020,Jakob_Huber2020
L2_17_2021,L2_17,2,5,25,30,4,dry_grassland,8,2021,Markus_Bauer,78,13,1.931897276,2021,Markus_Bauer2021
L2_18_2018,L2_18,2,5,25,30,1,hay_meadow,4,2018,Jakob_Huber,55.5,10,1.117088496,2018,Jakob_Huber2018
L2_18_2019,L2_18,2,5,25,30,1,hay_meadow,4,2019,Linda_Weggler,74,17,1.945978703,2019,Linda_Weggler2019
L2_18_2020,L2_18,2,5,25,30,1,hay_meadow,4,2020,Jakob_Huber,69,17,1.36244349,2020,Jakob_Huber2020
L2_18_2021,L2_18,2,5,25,30,1,hay_meadow,4,2021,Markus_Bauer,85,16,1.98104456,2021,Markus_Bauer2021
L2_19_2018,L2_19,2,5,25,30,3,dry_grassland,4,2018,Jakob_Huber,33.5,11,1.544300064,2018,Jakob_Huber2018
L2_19_2019,L2_19,2,5,25,30,3,dry_grassland,4,2019,Linda_Weggler,64.5,15,1.869764925,2019,Linda_Weggler2019
L2_19_2020,L2_19,2,5,25,30,3,dry_grassland,4,2020,Jakob_Huber,50,17,2.260009039,2020,Jakob_Huber2020
L2_19_2021,L2_19,2,5,25,30,3,dry_grassland,4,2021,Markus_Bauer,89.5,13,1.729123759,2021,Markus_Bauer2021
L2_20_2018,L2_20,2,5,25,30,2,hay_meadow,8,2018,Jakob_Huber,76,4,0.466682336,2018,Jakob_Huber2018
L2_20_2019,L2_20,2,5,25,30,2,hay_meadow,8,2019,Linda_Weggler,71,20,1.918767314,2019,Linda_Weggler2019
L2_20_2020,L2_20,2,5,25,30,2,hay_meadow,8,2020,Jakob_Huber,83,18,0.805627607,2020,Jakob_Huber2020
L2_20_2021,L2_20,2,5,25,30,2,hay_meadow,8,2021,Markus_Bauer,80,18,1.931191975,2021,Markus_Bauer2021
L2_21_2018,L2_21,2,6,50,30,1,hay_meadow,4,2018,Jakob_Huber,76.5,5,0.503025346,2018,Jakob_Huber2018
L2_21_2019,L2_21,2,6,50,30,1,hay_meadow,4,2019,Linda_Weggler,70,21,2.144685292,2019,Linda_Weggler2019
L2_21_2020,L2_21,2,6,50,30,1,hay_meadow,4,2020,Jakob_Huber,85.5,18,2.2801864,2020,Jakob_Huber2020
L2_21_2021,L2_21,2,6,50,30,1,hay_meadow,4,2021,Markus_Bauer,105.5,16,1.929001902,2021,Markus_Bauer2021
L2_22_2018,L2_22,2,6,50,30,2,hay_meadow,8,2018,Jakob_Huber,55.5,5,0.410858571,2018,Jakob_Huber2018
L2_22_2019,L2_22,2,6,50,30,2,hay_meadow,8,2019,Linda_Weggler,65.5,18,2.102504812,2019,Linda_Weggler2019
L2_22_2020,L2_22,2,6,50,30,2,hay_meadow,8,2020,Jakob_Huber,61,16,2.290036993,2020,Jakob_Huber2020
L2_22_2021,L2_22,2,6,50,30,2,hay_meadow,8,2021,Markus_Bauer,64.5,16,2.185262379,2021,Markus_Bauer2021
L2_23_2018,L2_23,2,6,50,30,3,dry_grassland,4,2018,Jakob_Huber,62,5,0.18722504,2018,Jakob_Huber2018
L2_23_2019,L2_23,2,6,50,30,3,dry_grassland,4,2019,Linda_Weggler,66.5,12,2.054215958,2019,Linda_Weggler2019
L2_23_2020,L2_23,2,6,50,30,3,dry_grassland,4,2020,Jakob_Huber,70.5,17,1.928849816,2020,Jakob_Huber2020
L2_23_2021,L2_23,2,6,50,30,3,dry_grassland,4,2021,Markus_Bauer,84,17,2.026951963,2021,Markus_Bauer2021
L2_24_2018,L2_24,2,6,50,30,4,dry_grassland,8,2018,Jakob_Huber,77.5,6,0.194423219,2018,Jakob_Huber2018
L2_24_2019,L2_24,2,6,50,30,4,dry_grassland,8,2019,Linda_Weggler,64,17,1.794779288,2019,Linda_Weggler2019
L2_24_2020,L2_24,2,6,50,30,4,dry_grassland,8,2020,Jakob_Huber,87,19,0.995713876,2020,Jakob_Huber2020
L2_24_2021,L2_24,2,6,50,30,4,dry_grassland,8,2021,Markus_Bauer,79,14,1.808623835,2021,Markus_Bauer2021
L3_01_2018,L3_01,3,1,0,15,1,hay_meadow,4,2018,Jakob_Huber,27,8,0.948415334,2018,Jakob_Huber2018
L3_01_2019,L3_01,3,1,0,15,1,hay_meadow,4,2019,Linda_Weggler,81,10,1.198712309,2019,Linda_Weggler2019
L3_01_2020,L3_01,3,1,0,15,1,hay_meadow,4,2020,Katharina_Beck,75.5,14,1.139274599,2020,Katharina_Beck2020
